Timestamp,Age,Gender,"Height (scale in cm, e.g. 183)",Where are you come from? (Country),Were your parents born from the same country as you?,How many language you speak at home to your family?,Religion denomination,Which academic field are you studying?,How many different countries have you lived in?,What is the temperature in degrees celsius right now?,Past intercultural experience: have you ever done one of the following international programs?,Indicate how strong you agree/disagree with the following sentence: [Q1. I enjoy being with people who have different values],Indicate how strong you agree/disagree with the following sentence: [Q2. I would rather work with someone who is like me than with someone who is different],Indicate how strong you agree/disagree with the following sentence: [Q3. I prefer being with people who have similar ways of thinking and values to mine],Indicate how strong you agree/disagree with the following sentence: [Q4. I often read and watch news about foreign countries],Indicate how strong you agree/disagree with the following sentence: [Q5. I have strong interest in international affairs],Indicate how strong you agree/disagree with the following sentence: [Q6. I often talk about situations and events in foreign countries with family and or friends],Indicate how strong you agree/disagree with the following sentence: [Q7. I am very interested in volunteer work in developing countries],Indicate how strong you agree/disagree with the following sentence: [Q8. I plan to be involved in international volunteer activities],Q1. People like you,Q2. Your national companies,Q3. Creation of jobs,Q4. Our quality of life,Q5. your national cultural history and traditions,Q6. your ability to learn about other cultures,Q7. Democracy and human rights,Q8. Maintaining cultural diversity in the world,Q9. The environment,Q10. Spread out COVID19,Q11. I have changed my opinion about the positive impact of globalization on humankind due to COVID19
Septembre,34,0,186,Spain,yes,1,Do not belong to a any religion,Mathematics and Statistics,5,26,Volunteer service,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,1,1,1,3,3,2,3,2,2,2,yes
March,34,6,157,BR,no,2,Orthodox,Natural Science,3,-4,Internship program,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,5,3,5,5,3,3,1,2,1,3,yes
April,27,8,191,RU,no,4,Protestant,Social Science,2,1,Studying school abroad,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,2,2,1,3,1,4,4,3,3,1,no
April,35,5,165,RU,no,3,Roman Catholic,Business & Admin and Law,5,2,Studying school abroad,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,5,4,2,2,1,3,5,1,3,3,no
March,34,2,164,ID,yes,5,Do not belong to a any religion,Arts and Humanities,5,7,Studying school abroad,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,5,5,5,2,4,3,5,5,2,5,yes
August,,2,165,ID,yes,3,Other Christian,Social Science,3,26,Studying school abroad,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,1,4,1,4,2,5,2,2,2,5,no
August,32,4,150,ID,yes,3,Don't know,Arts and Humanities,5,11,Volunteer service,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,4,1,2,1,5,1,4,5,2,4,no
February,39,8,173,CN,no,4,Hindu,Social Science,5,-2,Studying school abroad,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,2,2,4,4,2,5,2,3,2,5,yes
June,29,9,177,AL,no,2,Don't know,Information and Communication Technologies,1,13,None,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,1,2,3,3,1,1,1,1,5,2,no
April,19,2,159,NI,no,2,Hindu,Arts and Humanities,4,13,None,Disagree,Strongly Disagree,,Strongly Disagree,Agree,Agree,Disagree,Disagree,3,3,5,1,4,3,5,3,5,3,yes
August,18,6,188,UA,,2,Do not belong to a any religion,Natural Science,1,9,Volunteer service,,,,,Strongly Agree,Disagree,Agree,,,,,,,,,,,,
May,,10,179,ID,yes,3,Do not belong to a any religion,Information and Communication Technologies,1,15,Studying school abroad,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,2,1,4,4,4,5,1,5,2,5,yes
February,38,9,169,CN,,4,Buddhist,Arts and Humanities,4,18,Volunteer service,Strongly Disagree,Strongly Disagree,,Agree,Agree,Agree,Strongly Disagree,,,,,,,,,,,,
March,25,9,193,ID,no,4,Hindu,Social Science,3,9,Studying school abroad,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,4,3,2,3,1,2,2,5,5,2,yes
March,23,1,175,CZ,yes,2,Roman Catholic,Information and Communication Technologies,4,-5,None,Disagree,Strongly Disagree,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,1,1,3,5,1,1,1,3,1,4,yes
May,28,2,185,DE,no,3,Jew,Information and Communication Technologies,2,20,Internship program,,,Agree,,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,3,3,2,4,2,1,1,1,4,5,no
June,19,8,161,PA,,1,Protestant,Arts and Humanities,1,23,Studying school abroad,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,,,,,,,,,,,,
August,33,2,154,RU,,,,Natural Science,,,,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,,,,,,,,,,,,
March,36,6,153,RU,,5,Roman Catholic,Business & Admin and Law,3,22,Volunteer service,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
May,40,1,193,CN,yes,5,Roman Catholic,Social Science,1,27,Internship program,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,1,2,1,1,3,1,4,2,4,1,no
July,,7,175,FR,,1,Roman Catholic,Arts and Humanities,1,25,Studying school abroad,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,
May,31,9,176,AR,,2,Roman Catholic,Social Science,1,20,None,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,
August,31,5,174,CA,no,5,Protestant,Natural Science,4,-3,None,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,2,2,3,3,5,4,5,5,5,5,yes
August,31,3,173,RU,yes,5,Orthodox,Business & Admin and Law,4,1,Studying school abroad,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,3,5,4,5,3,3,2,2,3,4,no
February,31,5,162,PH,no,4,Buddhist,Mathematics and Statistics,5,-3,Studying school abroad,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,3,2,5,4,3,2,5,1,4,3,no
February,21,1,185,BR,no,2,Other Christian,Natural Science,4,1,Internship program,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,5,4,1,1,2,1,3,1,3,1,yes
July,29,7,173,MN,yes,5,Roman Catholic,Natural Science,2,20,Volunteer service,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,3,3,3,4,2,1,4,2,5,4,yes
February,,2,158,SE,yes,1,Other Christian,Information and Communication Technologies,5,9,Studying school abroad,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,3,3,3,3,2,4,5,5,1,4,yes
August,38,1,179,PL,,2,Orthodox,Arts and Humanities,1,14,None,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,,,,,,,,,,,,
May,40,1,174,CN,yes,3,Hindu,Arts and Humanities,2,-4,Volunteer service,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,2,4,5,1,3,3,4,4,3,2,no
August,22,5,187,BR,no,1,Other,Mathematics and Statistics,5,1,Volunteer service,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,3,2,3,1,5,3,2,5,1,4,yes
July,31,9,153,CZ,no,4,Buddhist,Social Science,1,-3,Studying school abroad,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,1,5,5,1,5,4,1,5,1,3,yes
August,21,7,178,CN,,5,Orthodox,Natural Science,2,3,Volunteer service,,,Disagree,,Agree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,
July,33,7,192,CN,no,4,Orthodox,Arts and Humanities,4,20,Internship program,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,3,3,5,2,4,4,2,2,4,1,no
May,18,10,196,CN,no,2,Other,Arts and Humanities,1,25,Internship program,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,1,2,1,3,3,3,5,1,5,5,yes
February,25,9,176,NL,no,,,Arts and Humanities,,,,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,5,5,2,2,1,1,2,5,3,3,no
April,25,4,192,CN,yes,5,Roman Catholic,Business & Admin and Law,2,3,Internship program,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,1,5,2,3,3,1,4,5,2,3,yes
July,18,3,163,UA,,5,Don't know,Mathematics and Statistics,3,20,None,Strongly Disagree,Strongly Disagree,,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,,,,,,,,,,,,
