Document First Event;Date Document Release;Date Last Amendment
Law passed;25/12/2008;
Law passed;25/12/2013;
Law passed;25/12/2007;
Law passed;25/12/2011;
Law passed;25/12/2009;
Law passed;25/12/2014;
Law passed;01/08/2016;
Law passed;25/12/2012;
Law passed;25/12/2015;
Approved;01/01/2014;
Approved;01/01/2015;
Approved;01/01/2017;
Passed;23/11/2011;
Approved;01/01/2015;
Law passed;25/12/2003;
Law passed;25/12/2013;
Law passed;20/02/2017;
Law passed;02/02/2014;
Law passed;28/04/2013;
Law passed;08/12/2011;
Law passed;01/02/2011;
Law passed;27/01/2011;
Law passed;21/10/2010;
Law passed;15/04/2006;
Law passed;26/09/2005;
Law passed;26/12/2005;
Law passed;29/12/2004;
Law passed;14/08/2004;
Law passed;25/03/2004;
Law passed;28/07/1999;
Law passed;10/10/2013;
Law passed;19/12/2012;
Law passed;16/03/2011;
Law passed;11/02/2015;
Law passed;18/11/2015;
Law passed;24/10/2012;
Law passed;18/11/2010;
Law passed;16/12/2010;
Law passed;13/01/2014;11/04/2018
Law passed;14/06/2013;
Law passed;15/03/2013;
Law passed;17/08/2012;
Law passed;01/02/2012;
Law passed;23/04/2010;
Law passed;05/06/2008;
Law passed;25/12/2011;
Law passed;25/12/2012;
Law passed;25/02/2014;
Law passed;01/02/2016;
Law passed;03/02/2016;
Law passed;13/06/2017;
Law passed;14/02/2018;
Law passed;03/10/2014;
Law passed;03/10/2014;
Law passed;23/12/2009;
Law passed;29/12/2009;
Law passed;14/12/2015;
Law passed;25/12/2018;
Decision issued;11/05/2017;
Law passed;24/09/2015;
Law passed;23/04/2015;
Law passed;01/08/2011;
Law passed;25/12/2012;
Law passed;01/09/2015;
Law passed;21/05/1957;
Law passed;31/12/2010;
Law passed;21/12/2007;
Law passed;12/05/2006;01/01/2010
Law passed;25/08/2006;
Law passed;05/09/2005;
Law passed;19/10/1998;
Law passed;02/01/2007;15/10/2015
Law passed;15/10/2015;
Law passed;28/10/2010;
Law passed;25/07/2016;
Law passed;27/12/2017;
Law passed;15/01/1999;
Law passed;12/06/2018;
Law passed;25/12/2016;
Law passed;25/12/2009;
Law passed;25/12/1999;
Law passed;10/07/2019;
Law published;18/12/2019;
Law passed;20/08/2005;
Law passed;25/12/2007;
Law passed;25/12/2014;
Law passed;23/06/2005;
Law passed;04/11/2010;
Law passed;30/10/2008;
Law passed;01/11/1991;03/10/2011
Law passed;09/11/2004;
Law passed;13/12/2014;
Law passed;21/09/2012;
Law passed;22/07/2012;01/05/2020
Law passed;15/09/2011;
Law passed;29/11/2011;
Law passed;01/07/2010;
Law passed;29/03/2006;01/07/2008
Law passed;01/07/2008;29/09/2017
Law passed;02/12/2015;
Law passed;04/12/2015;
Law passed;21/12/2000;01/03/2016
Law passed;05/07/2010;01/09/2016
Law passed;07/12/2009;
Law passed;25/02/2019;
Law passed;09/06/2009;
Law passed;25/12/2015;
Law passed;04/12/2011;23/08/2017
Law passed;28/06/2010;25/12/2017
Law passed;11/08/2014;
Law passed;21/11/2011;25/12/2015
Law passed;29/07/2011;01/06/2017
Law passed;30/12/2011;
Law passed;01/03/2010;
Law passed;06/07/2007;
Law passed;25/12/2007;
Law passed;25/12/2002;25/12/2007
Law passed;16/03/1993;
Released;18/12/2019;
Approved;19/09/2019;01/01/2020
Law passed;25/12/2003;
Law passed;25/12/2008;
Law passed;25/12/2014;
Law passed;25/12/2013;
Law passed;01/07/2010;25/12/2014
Law passed;30/12/2015;
Law passed;01/03/2005;
Law passed;25/12/2013;
Law passed;08/10/2006;
Law passed;01/10/2008;
Law passed;01/05/2013;
Law passed;01/09/2013;
Law passed;10/12/2012;
Law passed;19/09/2012;
Law passed;25/12/2011;
Law passed;25/12/2009;
Law passed;25/12/2010;
Law passed;18/12/2008;
Law passed;24/07/2003;25/12/2010
Approved;01/06/2014;
