q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly Agree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree
Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree
Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
Disagree,Disagree,Agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat disagree,Agree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree
Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree
Somewhat disagree,Strongly Agree,Somewhat agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat disagree,Disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree
Agree,Somewhat disagree,,Somewhat agree,Somewhat disagree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Agree
Disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Strongly Disagree,Agree
Strongly Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Agree
Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Disagree,,Somewhat agree,Strongly Agree,Somewhat agree
Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree
Disagree,Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Somewhat disagree,Somewhat agree
